,link_id,zone
0,p1,2
1,p2,2
2,p3,2
3,p4,0
4,p5,1
5,p6,2
6,p7,2
7,p8,0
8,p9,0
9,p10,2
10,p11,2
11,p12,2
12,p13,2
13,p14,2
14,p15,2
15,p16,2
16,p17,2
17,p18,2
18,p19,1
19,p20,0
20,p21,2
21,p22,2
22,p23,2
23,p24,2
24,p25,0
25,p26,0
26,p27,2
27,p28,0
28,p29,2
29,p30,2
30,p31,2
31,p32,2
32,p33,2
33,p34,2
34,p35,2
35,p36,2
36,p37,1
37,p38,2
38,p39,2
39,p40,1
40,p41,2
41,p42,2
42,p43,2
43,p44,0
44,p45,2
45,p46,2
46,p47,0
47,p48,2
48,p49,0
49,p50,2
50,p51,2
51,p52,2
52,p53,0
53,p54,1
54,p55,2
55,p56,2
56,p57,0
57,p58,0
58,p59,1
59,p60,0
60,p61,1
61,p62,2
62,p63,1
63,p64,2
64,p65,0
65,p66,2
66,p67,0
67,p68,2
68,p69,2
69,p70,2
70,p71,2
71,p72,2
72,p73,2
73,p74,2
74,p75,1
75,p76,1
76,p77,0
77,p78,0
78,p79,0
79,p80,1
80,p81,2
81,p82,0
82,p83,2
83,p84,0
84,p85,1
85,p86,2
86,p87,2
87,p88,0
88,p89,2
89,p90,2
90,p91,2
91,p92,2
92,p93,0
93,p94,0
94,p95,0
95,p96,2
96,p97,1
97,p98,0
98,p99,2
99,p100,2
100,p101,0
101,p102,2
102,p103,0
103,p104,1
104,p105,0
105,p106,2
106,p107,0
107,p108,2
108,p109,2
109,p110,0
110,p111,0
111,p112,2
112,p113,2
113,p114,0
114,p115,2
115,p116,2
116,p117,2
117,p118,0
118,p119,2
119,p120,2
120,p121,2
121,p122,2
122,p123,0
123,p124,0
124,p125,2
125,p126,0
126,p127,2
127,p128,2
128,p129,0
129,p130,2
130,p131,2
131,p132,2
132,p133,2
133,p134,2
134,p135,2
135,p136,0
136,p137,0
137,p138,2
138,p139,2
139,p140,2
140,p141,2
141,p142,0
142,p143,2
143,p144,2
144,p145,2
145,p146,0
146,p147,2
147,p148,0
148,p149,2
149,p150,2
150,p151,2
151,p152,2
152,p153,0
153,p154,2
154,p155,2
155,p156,1
156,p157,2
157,p158,2
158,p159,1
159,p160,2
160,p161,0
161,p162,2
162,p163,2
163,p164,0
164,p165,2
165,p166,2
166,p167,2
167,p168,2
168,p169,2
169,p170,0
170,p171,2
171,p172,0
172,p173,0
173,p174,2
174,p175,2
175,p176,2
176,p177,2
177,p178,0
178,p179,1
179,p180,1
180,p181,0
181,p182,2
182,p183,2
183,p184,2
184,p185,2
185,p186,2
186,p187,2
187,p188,2
188,p189,0
189,p190,2
190,p191,1
191,p192,2
192,p193,0
193,p194,2
194,p195,2
195,p196,1
196,p197,2
197,p198,2
198,p199,1
199,p200,2
200,p201,2
201,p202,2
202,p203,0
203,p204,2
204,p205,2
205,p206,2
206,p207,2
207,p208,0
208,p209,1
209,p210,1
210,p211,2
211,p212,2
212,p213,2
213,p214,2
214,p215,2
215,p216,0
216,p217,2
217,p218,0
218,p219,2
219,p220,2
220,p221,2
221,p222,2
222,p223,2
223,p224,0
224,p225,0
